neighbourhood,room_type,price,minimum_nights,availability_365,accommodates,District,rental_type,license_disclosed
Bay Street Corridor,Entire home/apt,128,30,52,3,Toronto,Long-term rental,No
New Toronto,Entire home/apt,150,28,313,2,Etobicoke,Short-term rental,No
Little Portugal,Entire home/apt,109,28,235,2,Toronto,Short-term rental,No
Bay Street Corridor,Entire home/apt,133,30,31,3,Toronto,Long-term rental,No
Waterfront Communities The Island,Entire home/apt,133,30,83,3,Toronto,Long-term rental,No
Waterfront Communities The Island,Entire home/apt,184,7,29,2,Toronto,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,100,30,0,3,Toronto,Long-term rental,No
Palmerston Little Italy,Entire home/apt,65,28,92,1,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,150,28,0,4,Toronto,Short-term rental,No
Willowdale East,Private room,69,5,38,1,North York,Short-term rental,Yes
Yorkdale Glen Park,Entire home/apt,100,28,0,2,North York,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,471,28,196,4,Toronto,Short-term rental,Yes
South Riverdale,Entire home/apt,313,28,92,6,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,325,28,149,3,Toronto,Short-term rental,Yes
Regent Park,Entire home/apt,248,60,173,2,Toronto,Long-term rental,No
Waterfront Communities The Island,Entire home/apt,486,3,136,4,Toronto,Short-term rental,Yes
South Riverdale,Entire home/apt,108,28,76,2,Toronto,Short-term rental,No
Old East York,Private room,75,7,358,2,East York,Short-term rental,Yes
York University Heights,Private room,199,28,0,4,North York,Short-term rental,Yes
Cabbagetown South St James Town,Entire home/apt,138,28,172,6,Toronto,Short-term rental,No
Church Yonge Corridor,Entire home/apt,363,1,263,6,Toronto,Short-term rental,Yes
Islington City Centre West,Private room,46,28,328,1,Etobicoke,Short-term rental,No
Church Yonge Corridor,Entire home/apt,102,60,253,2,Toronto,Long-term rental,No
High Park Swansea,Entire home/apt,107,1,221,2,Toronto,Short-term rental,Yes
Annex,Entire home/apt,160,31,365,6,Toronto,Long-term rental,No
Waterfront Communities The Island,Entire home/apt,128,28,0,2,Toronto,Short-term rental,Yes
Leaside Bennington,Private room,143,1,115,2,East York,Short-term rental,Yes
Princess Rosethorn,Private room,90,2,72,3,Toronto,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,220,28,92,5,Toronto,Short-term rental,Yes
Alderwood,Entire home/apt,170,30,364,4,Etobicoke,Long-term rental,No
Rosedale Moore Park,Entire home/apt,90,28,0,2,Toronto,Short-term rental,No
Mount Olive Silverstone Jamestown,Private room,85,28,320,1,Toronto,Short-term rental,Exempt
Kensington Chinatown,Private room,90,2,4,1,Toronto,Short-term rental,Yes
Roncesvalles,Entire home/apt,199,28,122,4,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,329,30,264,4,Toronto,Long-term rental,Yes
Hillcrest Village,Entire home/apt,85,28,116,4,North York,Short-term rental,No
New Toronto,Shared room,207,1,84,4,Etobicoke,Short-term rental,Yes
Yorkdale Glen Park,Entire home/apt,439,28,90,14,North York,Short-term rental,Yes
Bay Street Corridor,Entire home/apt,225,28,365,4,Toronto,Short-term rental,No
Downsview Roding Cfb,Entire home/apt,110,28,0,2,North York,Short-term rental,Exempt
Rexdale Kipling,Private room,43,28,1,1,Etobicoke,Short-term rental,Yes
Waterfront Communities The Island,Private room,101,1,21,2,Toronto,Short-term rental,Yes
Markland Wood,Entire home/apt,427,28,186,6,Etobicoke,Short-term rental,Yes
Dufferin Grove,Entire home/apt,79,28,269,2,Toronto,Short-term rental,No
York University Heights,Private room,50,30,310,1,North York,Long-term rental,Yes
Waterfront Communities The Island,Entire home/apt,150,28,123,4,Toronto,Short-term rental,Yes
Willowdale West,Entire home/apt,250,29,83,2,North York,Long-term rental,No
Thistletown Beaumond Heights,Private room,47,28,365,2,Etobicoke,Short-term rental,Exempt
Kensington Chinatown,Entire home/apt,78,28,314,2,Toronto,Short-term rental,No
Long Branch,Entire home/apt,80,28,317,3,Etobicoke,Short-term rental,No
Annex,Entire home/apt,129,5,0,2,Toronto,Short-term rental,Yes
Wexford Maryvale,Private room,96,2,83,2,Scarborough,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,325,28,151,3,Toronto,Short-term rental,Yes
Moss Park,Entire home/apt,149,28,0,4,Toronto,Short-term rental,Yes
Mount Pleasant West,Entire home/apt,219,28,179,3,Toronto,Short-term rental,Yes
Bendale,Private room,80,28,0,4,Scarborough,Short-term rental,Yes
Bendale,Private room,75,28,18,4,Scarborough,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,300,90,86,4,Toronto,Long-term rental,Yes
Mimico (Includes Humber Bay Shores),Entire home/apt,300,28,364,4,Etobicoke,Short-term rental,No
Little Portugal,Entire home/apt,229,2,273,4,Toronto,Short-term rental,Yes
Alderwood,Entire home/apt,267,28,239,4,Etobicoke,Short-term rental,Yes
Willowdale East,Entire home/apt,60,31,321,1,North York,Long-term rental,No
Niagara,Entire home/apt,130,29,364,2,Toronto,Long-term rental,No
Waterfront Communities The Island,Entire home/apt,195,28,85,3,Toronto,Short-term rental,Yes
Greenwood Coxwell,Entire home/apt,195,2,352,2,Toronto,Short-term rental,Yes
Woburn,Entire home/apt,70,28,37,2,Scarborough,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,210,28,303,2,Toronto,Short-term rental,Yes
Annex,Entire home/apt,299,28,152,3,Toronto,Short-term rental,Yes
Yonge St Clair,Entire home/apt,295,28,208,4,Toronto,Short-term rental,Yes
Greenwood Coxwell,Entire home/apt,300,28,358,6,Toronto,Short-term rental,Yes
Taylor Massey,Entire home/apt,99,28,283,2,Toronto,Short-term rental,No
Niagara,Entire home/apt,999,28,365,4,Toronto,Short-term rental,Yes
Willowridge Martingrove Richview,Private room,101,1,333,4,Etobicoke,Short-term rental,Yes
Newtonbrook West,Private room,116,1,318,2,North York,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,125,28,197,4,Toronto,Short-term rental,No
Dovercourt Wallace Emerson Junction,Entire home/apt,168,3,89,2,Toronto,Short-term rental,Yes
Greenwood Coxwell,Entire home/apt,120,28,179,4,Toronto,Short-term rental,Yes
Willowridge Martingrove Richview,Private room,71,1,285,2,Etobicoke,Short-term rental,Yes
Junction Area,Entire home/apt,110,28,349,4,Toronto,Short-term rental,Yes
Mount Dennis,Private room,64,1,0,1,York,Short-term rental,Yes
Beechborough Greenbrook,Entire home/apt,325,28,365,8,Toronto,Short-term rental,No
Willowridge Martingrove Richview,Private room,87,1,315,3,Etobicoke,Short-term rental,Yes
Moss Park,Entire home/apt,135,28,140,5,Toronto,Short-term rental,Yes
Yonge Eglinton,Entire home/apt,85,28,37,2,Toronto,Short-term rental,No
Bay Street Corridor,Entire home/apt,100,28,358,2,Toronto,Short-term rental,No
South Riverdale,Entire home/apt,120,1,319,2,Toronto,Short-term rental,Yes
South Riverdale,Private room,100,1,354,2,Toronto,Short-term rental,Yes
York University Heights,Private room,50,30,365,1,North York,Long-term rental,Yes
Willowridge Martingrove Richview,Private room,77,1,313,3,Etobicoke,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,135,28,0,2,Toronto,Short-term rental,Yes
Willowdale West,Entire home/apt,171,3,259,2,North York,Short-term rental,Yes
Niagara,Entire home/apt,485,3,117,4,Toronto,Short-term rental,Yes
Willowridge Martingrove Richview,Private room,75,1,307,3,Etobicoke,Short-term rental,Yes
Willowridge Martingrove Richview,Entire home/apt,189,2,305,6,Etobicoke,Short-term rental,Yes
Lansing Westgate,Private room,88,1,360,2,North York,Short-term rental,Yes
Church Yonge Corridor,Entire home/apt,180,30,319,2,Toronto,Long-term rental,No
Keelesdale Eglinton West,Entire home/apt,95,28,135,2,Toronto,Short-term rental,Yes
Church Yonge Corridor,Entire home/apt,250,30,5,4,Toronto,Long-term rental,No
Willowdale East,Entire home/apt,241,28,364,6,North York,Short-term rental,Yes
Malvern,Private room,52,1,350,1,Scarborough,Short-term rental,Yes
Annex,Private room,265,28,0,4,Toronto,Short-term rental,Yes
Willowdale West,Private room,93,1,340,2,North York,Short-term rental,Yes
Woodbine Corridor,Entire home/apt,129,28,308,2,Toronto,Short-term rental,Yes
Dovercourt Wallace Emerson Junction,Entire home/apt,100,28,206,2,Toronto,Short-term rental,Yes
Mount Pleasant West,Private room,50,6,52,2,Toronto,Short-term rental,Yes
Willowdale West,Entire home/apt,131,1,344,4,North York,Short-term rental,Yes
North Riverdale,Entire home/apt,140,2,206,4,Toronto,Short-term rental,Yes
Annex,Entire home/apt,175,28,255,4,Toronto,Short-term rental,No
High Park Swansea,Entire home/apt,197,2,270,2,Toronto,Short-term rental,Yes
Newtonbrook West,Private room,108,1,318,2,North York,Short-term rental,Yes
Victoria Village,Entire home/apt,79,28,336,2,North York,Short-term rental,No
Bay Street Corridor,Entire home/apt,298,28,340,3,Toronto,Short-term rental,Yes
Blake Jones,Entire home/apt,181,4,29,2,Toronto,Short-term rental,Yes
Flemingdon Park,Entire home/apt,74,180,358,1,North York,Long-term rental,No
Waterfront Communities The Island,Entire home/apt,132,28,22,2,Toronto,Short-term rental,Yes
Don Valley Village,Private room,66,28,258,2,North York,Short-term rental,Yes
Bayview Woods Steeles,Entire home/apt,150,28,364,5,North York,Short-term rental,Yes
Little Portugal,Entire home/apt,80,28,296,2,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,400,28,179,2,Toronto,Short-term rental,Yes
Thistletown Beaumond Heights,Private room,51,28,90,2,Etobicoke,Short-term rental,No
Eglinton East,Entire home/apt,100,28,62,4,Scarborough,Short-term rental,No
Cabbagetown South St James Town,Entire home/apt,120,180,223,2,Toronto,Long-term rental,No
Waterfront Communities The Island,Entire home/apt,325,28,67,3,Toronto,Short-term rental,Yes
Don Valley Village,Private room,64,28,221,2,North York,Short-term rental,Yes
Moss Park,Entire home/apt,150,28,0,2,Toronto,Short-term rental,Yes
Banbury Don Mills,Private room,60,28,36,2,North York,Short-term rental,Yes
Bay Street Corridor,Entire home/apt,115,30,106,2,Toronto,Long-term rental,No
Little Portugal,Entire home/apt,375,28,365,4,Toronto,Short-term rental,Yes
Wexford Maryvale,Entire home/apt,167,28,179,8,Scarborough,Short-term rental,No
High Park Swansea,Entire home/apt,279,3,354,4,Toronto,Short-term rental,Yes
Bayview Woods Steeles,Entire home/apt,142,28,127,2,North York,Short-term rental,Yes
University,Entire home/apt,100,180,68,2,Toronto,Long-term rental,No
Agincourt South Malvern West,Entire home/apt,75,28,342,2,Scarborough,Short-term rental,No
Guildwood,Entire home/apt,60,3,6,2,Scarborough,Short-term rental,Yes
Henry Farm,Entire home/apt,120,28,256,4,North York,Short-term rental,No
Clanton Park,Private room,75,3,159,1,North York,Short-term rental,Yes
Wychwood,Entire home/apt,85,28,272,4,Toronto,Short-term rental,No
Mount Pleasant West,Entire home/apt,150,28,334,2,Toronto,Short-term rental,No
Newtonbrook West,Entire home/apt,126,1,317,4,North York,Short-term rental,Yes
Annex,Entire home/apt,220,28,312,6,Toronto,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,125,28,5,4,Toronto,Short-term rental,Yes
Stonegate Queensway,Entire home/apt,120,28,364,4,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,107,31,251,2,Toronto,Long-term rental,No
Rexdale Kipling,Private room,39,28,0,1,Etobicoke,Short-term rental,Yes
L Amoreaux,Entire home/apt,60,30,0,4,Scarborough,Long-term rental,No
Long Branch,Entire home/apt,80,28,61,2,Etobicoke,Short-term rental,No
York University Heights,Private room,99,1,365,1,North York,Short-term rental,Yes
York University Heights,Private room,100,1,321,1,North York,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,349,28,90,5,Toronto,Short-term rental,Yes
Lansing Westgate,Entire home/apt,245,2,90,4,North York,Short-term rental,Yes
South Parkdale,Entire home/apt,194,1,56,4,Toronto,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,335,28,89,2,Toronto,Short-term rental,Yes
Playter Estates Danforth,Entire home/apt,125,28,289,2,Toronto,Short-term rental,No
Cabbagetown South St James Town,Private room,95,28,119,2,Toronto,Short-term rental,No
Greenwood Coxwell,Entire home/apt,141,28,190,4,Toronto,Short-term rental,No
Eringate Centennial West Deane,Private room,75,3,83,2,Etobicoke,Short-term rental,Yes
Mimico (Includes Humber Bay Shores),Entire home/apt,800,28,361,11,Etobicoke,Short-term rental,Yes
Mount Pleasant West,Entire home/apt,150,270,358,2,Toronto,Long-term rental,No
South Parkdale,Private room,74,1,76,2,Toronto,Short-term rental,Yes
Niagara,Entire home/apt,373,1,237,4,Toronto,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,207,1,0,4,Toronto,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,428,28,237,5,Toronto,Short-term rental,Yes
Thistletown Beaumond Heights,Private room,46,28,364,2,Etobicoke,Short-term rental,Exempt
Waterfront Communities The Island,Entire home/apt,329,28,365,3,Toronto,Short-term rental,No
Greenwood Coxwell,Entire home/apt,110,28,0,4,Toronto,Short-term rental,No
South Parkdale,Private room,73,1,73,1,Toronto,Short-term rental,Yes
South Parkdale,Private room,69,1,71,1,Toronto,Short-term rental,Yes
Yonge Eglinton,Entire home/apt,106,30,156,2,Toronto,Long-term rental,No
Woburn,Entire home/apt,78,2,201,2,Scarborough,Short-term rental,Yes
Church Yonge Corridor,Entire home/apt,425,29,180,4,Toronto,Long-term rental,No
Woodbine Corridor,Private room,207,28,365,3,Toronto,Short-term rental,Yes
New Toronto,Entire home/apt,80,20,0,2,Etobicoke,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,139,28,183,2,Toronto,Short-term rental,Yes
Niagara,Entire home/apt,145,5,32,4,Toronto,Short-term rental,Yes
Bayview Woods Steeles,Private room,63,29,320,1,North York,Long-term rental,No
Church Yonge Corridor,Private room,84,28,89,1,Toronto,Short-term rental,Yes
North St James Town,Entire home/apt,137,29,343,2,Toronto,Long-term rental,No
South Parkdale,Entire home/apt,80,28,0,2,Toronto,Short-term rental,No
Mount Pleasant West,Private room,70,4,90,1,Toronto,Short-term rental,Yes
Brookhaven Amesbury,Entire home/apt,70,31,349,2,North York,Long-term rental,No
Waterfront Communities The Island,Entire home/apt,426,28,357,5,Toronto,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,193,28,0,5,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,99,1,87,4,Toronto,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,400,28,19,5,Toronto,Short-term rental,Yes
Little Portugal,Entire home/apt,200,30,130,4,Toronto,Long-term rental,No
Junction Area,Private room,65,28,266,1,Toronto,Short-term rental,Yes
Niagara,Entire home/apt,136,28,297,2,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,310,28,0,2,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,150,183,190,3,Toronto,Long-term rental,No
Niagara,Entire home/apt,120,30,1,3,Toronto,Long-term rental,No
Bay Street Corridor,Entire home/apt,237,1,251,2,Toronto,Short-term rental,Yes
Thistletown Beaumond Heights,Private room,54,28,365,2,Etobicoke,Short-term rental,No
Rouge,Private room,108,28,341,3,Scarborough,Short-term rental,Exempt
Corso Italia Davenport,Entire home/apt,125,28,45,2,Toronto,Short-term rental,Yes
Woburn,Entire home/apt,120,28,364,2,Scarborough,Short-term rental,Yes
Bayview Woods Steeles,Entire home/apt,99,1,70,2,North York,Short-term rental,Yes
York University Heights,Entire home/apt,130,28,364,4,North York,Short-term rental,No
Yonge St Clair,Entire home/apt,98,31,333,2,Toronto,Long-term rental,No
Waterfront Communities The Island,Entire home/apt,265,29,365,1,Toronto,Long-term rental,No
Trinity Bellwoods,Private room,88,28,311,2,Toronto,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,285,28,288,4,Toronto,Short-term rental,No
Little Portugal,Entire home/apt,155,28,87,4,Toronto,Short-term rental,Yes
South Riverdale,Entire home/apt,228,28,244,4,Toronto,Short-term rental,No
Bay Street Corridor,Entire home/apt,720,28,90,6,Toronto,Short-term rental,Yes
High Park Swansea,Private room,89,2,67,4,Toronto,Short-term rental,Yes
West Humber Clairville,Private room,58,1,63,2,Etobicoke,Short-term rental,Yes
Annex,Entire home/apt,132,31,253,2,Toronto,Long-term rental,No
Waterfront Communities The Island,Entire home/apt,20,30,212,2,Toronto,Long-term rental,Yes
Danforth East York,Entire home/apt,110,28,179,4,Toronto,Short-term rental,No
Princess Rosethorn,Private room,90,2,77,3,Toronto,Short-term rental,Yes
Mount Pleasant East,Private room,48,28,136,1,Toronto,Short-term rental,No
Annex,Private room,129,28,90,2,Toronto,Short-term rental,Yes
Bay Street Corridor,Private room,139,28,90,2,Toronto,Short-term rental,Yes
Annex,Entire home/apt,100,30,365,1,Toronto,Long-term rental,Exempt
Yorkdale Glen Park,Entire home/apt,179,28,285,4,North York,Short-term rental,No
Milliken,Entire home/apt,256,28,267,7,Scarborough,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,97,2,25,3,Toronto,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,148,29,344,2,Toronto,Long-term rental,No
Bathurst Manor,Entire home/apt,98,28,0,2,North York,Short-term rental,Yes
Junction Area,Entire home/apt,75,4,244,2,Toronto,Short-term rental,Yes
Mimico (Includes Humber Bay Shores),Entire home/apt,200,28,337,2,Etobicoke,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,133,28,29,3,Toronto,Short-term rental,No
Yorkdale Glen Park,Private room,45,28,69,1,North York,Short-term rental,No
The Beaches,Entire home/apt,400,3,207,5,Toronto,Short-term rental,Yes
Willowdale East,Entire home/apt,150,28,365,4,North York,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,250,28,365,2,Toronto,Short-term rental,No
Niagara,Entire home/apt,227,1,222,3,Toronto,Short-term rental,Yes
Little Portugal,Entire home/apt,100,28,363,2,Toronto,Short-term rental,Yes
Kingsview Village The Westway,Entire home/apt,57,28,350,2,Etobicoke,Short-term rental,No
Markland Wood,Private room,132,1,296,2,Etobicoke,Short-term rental,Yes
Lambton Baby Point,Entire home/apt,262,2,273,6,York,Short-term rental,Yes
West Humber Clairville,Entire home/apt,192,28,320,4,Etobicoke,Short-term rental,No
Oakwood Village,Entire home/apt,123,2,364,2,York,Short-term rental,Yes
Danforth,Entire home/apt,110,28,0,2,Toronto,Short-term rental,Yes
Islington City Centre West,Private room,46,28,65,1,Etobicoke,Short-term rental,No
Willowdale East,Entire home/apt,110,30,176,2,North York,Long-term rental,No
Waterfront Communities The Island,Entire home/apt,420,2,336,10,Toronto,Short-term rental,Yes
Greenwood Coxwell,Entire home/apt,482,3,268,8,Toronto,Short-term rental,Yes
Little Portugal,Entire home/apt,249,28,224,6,Toronto,Short-term rental,No
Moss Park,Entire home/apt,161,28,0,3,Toronto,Short-term rental,Yes
University,Private room,75,28,0,1,Toronto,Short-term rental,No
Corso Italia Davenport,Entire home/apt,145,28,217,2,Toronto,Short-term rental,No
Little Portugal,Private room,50,30,288,1,Toronto,Long-term rental,No
Dovercourt Wallace Emerson Junction,Entire home/apt,112,30,343,2,Toronto,Long-term rental,No
High Park Swansea,Entire home/apt,99,30,322,3,Toronto,Long-term rental,No
East End Danforth,Entire home/apt,136,28,136,4,Toronto,Short-term rental,No
Niagara,Entire home/apt,271,28,139,6,Toronto,Short-term rental,No
East End Danforth,Entire home/apt,150,3,0,5,Toronto,Short-term rental,Yes
New Toronto,Entire home/apt,183,1,159,6,Etobicoke,Short-term rental,Yes
Cliffcrest,Entire home/apt,136,1,358,4,Scarborough,Short-term rental,Yes
Englemount Lawrence,Entire home/apt,215,2,9,8,Toronto,Short-term rental,Yes
University,Entire home/apt,922,28,365,16,Toronto,Short-term rental,Exempt
Waterfront Communities The Island,Entire home/apt,98,30,60,4,Toronto,Long-term rental,No
Leaside Bennington,Private room,100,2,356,2,East York,Short-term rental,Yes
Annex,Entire home/apt,399,28,180,3,Toronto,Short-term rental,Yes
Oakwood Village,Entire home/apt,160,3,172,4,York,Short-term rental,Yes
Oakwood Village,Entire home/apt,215,28,365,4,York,Short-term rental,Yes
Oakwood Village,Entire home/apt,215,28,364,3,York,Short-term rental,Yes
University,Private room,75,28,28,1,Toronto,Short-term rental,No
Waterfront Communities The Island,Private room,175,1,41,2,Toronto,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,120,28,52,3,Toronto,Short-term rental,No
Waterfront Communities The Island,Private room,116,1,18,2,Toronto,Short-term rental,Yes
Greenwood Coxwell,Entire home/apt,252,1,84,3,Toronto,Short-term rental,Yes
Little Portugal,Entire home/apt,109,28,267,4,Toronto,Short-term rental,No
University,Private room,55,28,30,1,Toronto,Short-term rental,No
Dufferin Grove,Entire home/apt,80,28,3,2,Toronto,Short-term rental,No
Dovercourt Wallace Emerson Junction,Entire home/apt,268,28,346,6,Toronto,Short-term rental,Yes
Humbermede,Private room,40,28,0,1,North York,Short-term rental,Yes
Alderwood,Entire home/apt,350,28,89,8,Etobicoke,Short-term rental,Yes
Pleasant View,Entire home/apt,150,28,0,4,North York,Short-term rental,Yes
Little Portugal,Entire home/apt,163,30,365,4,Toronto,Long-term rental,No
The Beaches,Entire home/apt,500,28,90,7,Toronto,Short-term rental,Yes
Trinity Bellwoods,Private room,75,28,0,1,Toronto,Short-term rental,No
Victoria Village,Entire home/apt,69,28,328,4,North York,Short-term rental,No
Cliffcrest,Entire home/apt,129,2,158,6,Scarborough,Short-term rental,Yes
Bridle Path Sunnybrook York Mills,Entire home/apt,430,1,351,10,North York,Short-term rental,Yes
Scarborough Village,Entire home/apt,301,3,44,6,Scarborough,Short-term rental,Yes
Church Yonge Corridor,Entire home/apt,174,150,313,2,Toronto,Long-term rental,Yes
Waterfront Communities The Island,Entire home/apt,125,28,38,3,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,229,28,82,7,Toronto,Short-term rental,No
Annex,Entire home/apt,399,28,180,3,Toronto,Short-term rental,Yes
Etobicoke West Mall,Entire home/apt,189,30,89,3,Toronto,Long-term rental,No
Yorkdale Glen Park,Entire home/apt,180,28,364,5,North York,Short-term rental,Yes
Kensington Chinatown,Shared room,65,1,357,1,Toronto,Short-term rental,Exempt
West Hill,Entire home/apt,135,28,219,6,Scarborough,Short-term rental,No
Annex,Entire home/apt,79,28,94,2,Toronto,Short-term rental,No
Little Portugal,Entire home/apt,129,28,261,4,Toronto,Short-term rental,Yes
Niagara,Entire home/apt,120,28,203,4,Toronto,Short-term rental,No
Islington City Centre West,Private room,71,1,48,3,Etobicoke,Short-term rental,Yes
Kensington Chinatown,Entire home/apt,437,28,365,16,Toronto,Short-term rental,Yes
Little Portugal,Entire home/apt,173,30,365,2,Toronto,Long-term rental,No
Bayview Village,Private room,50,2,362,2,North York,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,301,2,168,4,Toronto,Short-term rental,Yes
Greenwood Coxwell,Entire home/apt,109,28,365,2,Toronto,Short-term rental,Yes
Wychwood,Entire home/apt,85,28,115,2,Toronto,Short-term rental,Yes
Bay Street Corridor,Entire home/apt,526,1,356,6,Toronto,Short-term rental,Yes
Bayview Village,Private room,60,2,343,2,North York,Short-term rental,Yes
Rockcliffe Smythe,Entire home/apt,108,28,48,4,York,Short-term rental,Yes
Hillcrest Village,Private room,70,1,160,2,North York,Short-term rental,Yes
Newtonbrook East,Entire home/apt,80,28,365,2,North York,Short-term rental,No
Newtonbrook East,Entire home/apt,90,28,126,2,North York,Short-term rental,No
Waterfront Communities The Island,Private room,101,1,287,1,Toronto,Short-term rental,Yes
Mount Olive Silverstone Jamestown,Private room,95,1,180,2,Toronto,Short-term rental,Yes
Newtonbrook West,Private room,40,28,326,1,North York,Short-term rental,No
Yorkdale Glen Park,Entire home/apt,80,28,68,2,North York,Short-term rental,No
Bay Street Corridor,Entire home/apt,267,28,180,4,Toronto,Short-term rental,No
York University Heights,Private room,76,1,365,1,North York,Short-term rental,Yes
Islington City Centre West,Entire home/apt,483,28,365,10,Etobicoke,Short-term rental,Yes
Trinity Bellwoods,Private room,75,28,0,1,Toronto,Short-term rental,No
Lawrence Park South,Entire home/apt,273,90,294,6,Toronto,Long-term rental,No
Islington City Centre West,Entire home/apt,151,28,89,4,Etobicoke,Short-term rental,Yes
Willowdale East,Entire home/apt,139,28,223,3,North York,Short-term rental,No
Little Portugal,Entire home/apt,475,1,238,6,Toronto,Short-term rental,Yes
Wychwood,Entire home/apt,116,28,190,4,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,242,2,39,8,Toronto,Short-term rental,Yes
Forest Hill South,Entire home/apt,375,2,363,2,Toronto,Short-term rental,Yes
Annex,Entire home/apt,258,2,49,2,Toronto,Short-term rental,Yes
Kensington Chinatown,Shared room,68,1,364,1,Toronto,Short-term rental,Exempt
Trinity Bellwoods,Private room,75,28,1,1,Toronto,Short-term rental,No
Trinity Bellwoods,Private room,75,28,0,1,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,550,28,270,5,Toronto,Short-term rental,Yes
Weston,Entire home/apt,150,2,2,2,York,Short-term rental,Yes
North St James Town,Entire home/apt,269,2,214,2,Toronto,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,214,1,355,4,Toronto,Short-term rental,Yes
Dufferin Grove,Entire home/apt,543,2,69,8,Toronto,Short-term rental,Yes
Trinity Bellwoods,Private room,80,28,5,2,Toronto,Short-term rental,No
Trinity Bellwoods,Private room,75,28,3,2,Toronto,Short-term rental,No
Newtonbrook West,Private room,69,1,0,2,North York,Short-term rental,Yes
Annex,Entire home/apt,494,28,270,5,Toronto,Short-term rental,Yes
Wexford Maryvale,Private room,96,1,88,2,Scarborough,Short-term rental,Yes
High Park Swansea,Entire home/apt,70,28,0,1,Toronto,Short-term rental,Yes
Newtonbrook East,Entire home/apt,120,28,90,2,North York,Short-term rental,Yes
Greenwood Coxwell,Entire home/apt,77,28,192,3,Toronto,Short-term rental,No
Dovercourt Wallace Emerson Junction,Entire home/apt,79,28,156,4,Toronto,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,95,29,83,2,Toronto,Long-term rental,No
South Parkdale,Entire home/apt,514,2,178,4,Toronto,Short-term rental,Yes
Parkwoods Donalda,Entire home/apt,85,28,342,4,North York,Short-term rental,No
Willowdale West,Entire home/apt,184,2,310,7,North York,Short-term rental,Yes
Bay Street Corridor,Entire home/apt,145,28,46,4,Toronto,Short-term rental,Yes
Briar Hill Belgravia,Entire home/apt,125,3,1,3,Toronto,Short-term rental,Yes
High Park Swansea,Entire home/apt,500,28,244,8,Toronto,Short-term rental,No
Junction Area,Entire home/apt,65,28,0,2,Toronto,Short-term rental,No
Lansing Westgate,Entire home/apt,179,28,112,4,North York,Short-term rental,Yes
Tam O Shanter Sullivan,Entire home/apt,180,28,362,6,Scarborough,Short-term rental,Yes
Keelesdale Eglinton West,Entire home/apt,250,3,122,5,Toronto,Short-term rental,Yes
Annex,Entire home/apt,449,28,365,3,Toronto,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,150,30,52,4,Toronto,Long-term rental,No
Waterfront Communities The Island,Entire home/apt,150,30,113,5,Toronto,Long-term rental,No
Waterfront Communities The Island,Entire home/apt,150,30,0,5,Toronto,Long-term rental,No
North Riverdale,Entire home/apt,346,28,124,4,Toronto,Short-term rental,Yes
Corso Italia Davenport,Entire home/apt,134,5,74,2,Toronto,Short-term rental,Yes
Brookhaven Amesbury,Entire home/apt,70,28,315,4,North York,Short-term rental,No
Mimico (Includes Humber Bay Shores),Entire home/apt,86,28,364,2,Etobicoke,Short-term rental,No
York University Heights,Private room,109,1,365,1,North York,Short-term rental,Yes
University,Entire home/apt,164,28,12,4,Toronto,Short-term rental,Yes
