neighbourhood,room_type,price,minimum_nights,availability_365,accommodates,District,rental_type,license_disclosed
Palmerston Little Italy,Entire home/apt,90,28,0,6,Toronto,Short-term rental,No
East End Danforth,Entire home/apt,134,28,359,7,Toronto,Short-term rental,No
St Andrew Windfields,Entire home/apt,80,28,176,4,Toronto,Short-term rental,No
Dufferin Grove,Entire home/apt,380,28,0,8,Toronto,Short-term rental,No
Annex,Private room,54,30,217,2,Toronto,Long-term rental,No
Waterfront Communities The Island,Entire home/apt,119,28,214,2,Toronto,Short-term rental,No
South Riverdale,Entire home/apt,115,28,0,3,Toronto,Short-term rental,No
Church Yonge Corridor,Entire home/apt,97,28,269,1,Toronto,Short-term rental,No
Waterfront Communities The Island,Private room,267,28,5,3,Toronto,Short-term rental,Yes
South Riverdale,Entire home/apt,86,4,159,2,Toronto,Short-term rental,Yes
Woodbine Corridor,Private room,71,28,364,2,Toronto,Short-term rental,No
University,Entire home/apt,582,28,51,4,Toronto,Short-term rental,Yes
Little Portugal,Entire home/apt,110,28,252,2,Toronto,Short-term rental,Yes
Waterfront Communities The Island,Entire home/apt,70,180,179,2,Toronto,Long-term rental,No
Trinity Bellwoods,Entire home/apt,398,4,144,7,Toronto,Short-term rental,Yes
Birchcliffe Cliffside,Private room,38,28,119,1,Scarborough,Short-term rental,Yes
Little Portugal,Private room,80,2,320,2,Toronto,Short-term rental,Yes
North Riverdale,Entire home/apt,85,30,34,2,Toronto,Long-term rental,No
Broadview North,Entire home/apt,450,28,0,1,Toronto,Short-term rental,No
Woodbine Corridor,Private room,37,30,186,1,Toronto,Long-term rental,No
Woodbine Corridor,Private room,37,28,8,1,Toronto,Short-term rental,No
Niagara,Entire home/apt,170,28,365,4,Toronto,Short-term rental,No
Waterfront Communities The Island,Entire home/apt,221,28,130,5,Toronto,Short-term rental,No
Humewood Cedarvale,Entire home/apt,100,30,292,2,York,Long-term rental,No
Trinity Bellwoods,Private room,59,28,164,2,Toronto,Short-term rental,No
